Id,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,RainToday,RISK_MM,RainTomorrow
W0001,8,24.3,0,3.4,6.3,NW,30,No,3.6,Yes
W0002,14,26.9,3.6,4.4,9.7,ENE,39,Yes,3.6,Yes
W0003,13.7,23.4,3.6,5.8,3.3,NW,85,Yes,39.8,Yes
W0004,13.3,15.5,39.8,7.2,9.1,NW,54,Yes,2.8,Yes
W0005,7.6,16.1,2.8,5.6,10.6,SSE,50,Yes,0,No
W0006,6.2,16.9,0,5.8,8.2,SE,44,No,0.2,No
W0007,6.1,18.2,0.2,4.2,8.4,SE,43,No,0,No
W0008,8.3,17,0,5.6,4.6,E,41,No,0,No
W0009,8.8,19.5,0,4,4.1,S,48,No,16.2,Yes
W0010,8.4,22.8,16.2,5.4,7.7,E,31,Yes,0,No
W0011,9.1,25.2,0,4.2,11.9,N,30,No,0.2,No
W0012,8.5,27.3,0.2,7.2,12.5,E,41,No,0,No
W0013,10.1,27.9,0,7.2,13,WNW,30,No,0,No
W0014,12.1,30.9,0,6.2,12.4,NW,44,No,0,No
W0015,10.1,31.2,0,8.8,13.1,NW,41,No,0,No
W0016,12.4,32.1,0,8.4,11.1,E,46,No,0,No
W0017,13.8,31.2,0,7.2,8.4,ESE,44,No,1.2,Yes
W0018,11.7,30,1.2,7.2,10.1,S,52,Yes,0.6,No
W0019,12.4,32.3,0.6,7.4,13,E,39,No,0,No
W0020,15.6,33.4,0,8,10.4,NE,33,No,0,No
W0021,15.3,33.4,0,8.8,9.5,WNW,59,No,0.4,No
W0022,16.4,19.4,0.4,9.2,0,E,26,No,25.8,Yes
W0023,12.8,18.5,25.8,2.8,0.6,ESE,28,Yes,0.4,No
W0024,12,24.3,0.4,1.2,7.5,NNE,26,No,0,No
W0025,15.4,28.4,0,4.4,8.1,ENE,33,No,0,No
W0026,15.6,26.9,0,6.8,8.9,E,41,No,0.2,No
W0027,13.3,22.2,0.2,6.6,2.3,ENE,39,No,0,No
W0028,12.9,28,0,4.4,10.7,S,52,No,0,No
W0029,15.1,24.3,0,7,0.4,SE,39,No,0.4,No
W0030,13.6,24.1,0.4,2.6,0.5,NNW,30,No,22.6,Yes
W0031,15.1,20.4,22.6,2.4,0.2,SSE,41,Yes,4.2,Yes
W0032,11.6,26.3,4.2,1.6,12,NNE,41,Yes,0.2,No
W0033,16.6,24.2,0.2,6.6,4.7,NW,50,No,6.6,Yes
W0034,13.3,26.5,6.6,3.8,11.8,NW,50,Yes,0,No
W0035,14.5,21.8,0,8.4,9.8,ENE,43,No,0,No
W0036,16.3,26.8,0,6,6.3,ENE,39,No,0,No
W0037,17.2,25.8,0,4.2,8.8,SW,41,No,4,Yes
W0038,16.5,28.2,4,4.2,8.8,NE,39,Yes,0,No
W0039,15,29.4,0,6.6,11.1,NW,43,No,0,No
W0040,14.9,24.8,0,10.4,10,NNW,35,No,0.6,No
W0041,11.8,18.5,0.6,4.8,2.3,ENE,35,No,0,No
W0042,11.7,21.5,0,4.2,7.3,ENE,41,No,0,No
W0043,9.6,20.3,0,5,3.6,SE,39,No,0,No
W0044,8.9,27.1,0,4.4,12.7,E,35,No,0,No
W0045,10.1,29.9,0,6.8,8.8,E,41,No,5.4,Yes
W0046,15.5,21.1,5.4,6.4,0.9,S,31,Yes,1.4,Yes
W0047,10.8,21.7,1.4,2.8,10.6,ESE,48,Yes,0,No
W0048,7.5,20.9,0,6.6,8.7,ENE,39,No,0,No
W0049,12.8,21,0,6.4,0.8,NE,22,No,3.4,Yes
W0050,12.6,23.1,3.4,1.6,2.3,NNW,30,Yes,6.4,Yes
W0051,14.8,29.5,6.4,1.8,8.1,N,41,Yes,11,Yes
W0052,19.9,22,11,4.4,5.9,NNW,76,Yes,17.4,Yes
W0053,9.2,20.4,17.4,7.8,10.2,ENE,39,Yes,0,No
W0054,12.4,24.4,0,6.2,12.1,NW,44,No,3.4,Yes
W0055,11.3,21.7,3.4,8.2,5.6,E,41,Yes,0,No
W0056,9.8,26.3,0,5.2,13,NNW,41,No,0,No
W0057,14.3,26.7,0,7.2,7.1,NNW,65,No,14.4,Yes
W0058,15.1,28.3,14.4,8.8,13.2,NNW,28,Yes,0,No
W0059,14.4,31.6,0,6.6,13.6,NNW,30,No,0,No
W0060,15.4,35,0,9.6,13,E,39,No,0,No
W0061,13.8,33.5,0,11.4,13.6,NE,31,No,0,No
W0062,13.6,34.2,0,8.8,12.8,NNE,35,No,0,No
W0063,14.3,35,0,7.6,10.5,ESE,41,No,0,No
W0064,15.9,23.4,0,12.6,2.2,ESE,50,No,0,No
W0065,16.7,25.3,0,6.2,12.5,ESE,46,No,0,No
W0066,12.1,27.5,0,7.4,11.7,NE,35,No,0,No
W0067,14.3,34.1,0,6.6,10.5,ENE,39,No,0,No
W0068,16.5,33.9,0,9,12.6,ENE,39,No,0,No
W0069,16.5,30.3,0,10,8.1,E,46,No,0,No
W0070,17.5,29.9,0,6.6,8.8,E,43,No,0,No
W0071,14.7,34.2,0,6.6,12.8,NE,33,No,0,No
W0072,17.5,35.8,0,9.4,13.3,SSE,57,No,0,No
W0073,20.9,35.7,0,13.8,6.9,SW,50,No,2,Yes
W0074,17,33.8,2,9,13.5,WNW,52,Yes,0,No
W0075,16,22.8,0,12.4,6,E,50,No,0,No
W0076,15.4,33.8,0,5.2,11.1,W,35,No,0,No
W0077,17.9,33.2,0,10.4,8.4,N,59,No,4.8,Yes
W0078,15.2,25.1,4.8,6.4,11.6,E,46,Yes,0,No
W0079,15.1,20.4,0,9.6,0.1,ESE,39,No,18.8,Yes
W0080,15.3,19.6,18.8,5,0,NE,33,Yes,12.2,Yes
W0081,17.2,24.7,12.2,1.4,8.1,NW,50,Yes,0.8,No
W0082,15.9,19.9,0.8,5.6,1.6,E,48,No,0,No
W0083,10,22.5,0,4.4,11.6,E,33,No,0,No
W0084,9.9,24.4,0,5.8,10.8,NE,28,No,0,No
W0085,10.3,27.8,0,6.4,9.9,ENE,35,No,0,No
W0086,15.4,25.7,0,6.8,8.2,E,41,No,0,No
W0087,12.7,28.8,0,7.4,9,NNE,28,No,0,No
W0088,13.2,31.3,0,6.6,11.6,WSW,46,No,0,No
W0089,15.3,33.2,0,9.4,13.2,NNW,44,No,0,No
W0090,17.9,33.9,0,10.4,11.8,ENE,46,No,0,No
W0091,18,34.9,0,9.2,9.9,NW,69,No,5.2,Yes
W0092,17.6,27.8,5.2,10.2,3.6,ESE,39,Yes,2.2,Yes
W0093,16,23.8,2.2,5.4,6.2,SSE,30,Yes,0,No
