Id,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
W0001,SW,NW,6,20,68,29,1019.7,1015,7,7,14.4,23.6
W0002,E,W,4,17,80,36,1012.4,1008.4,5,3,17.5,25.7
W0003,N,NNE,6,6,82,69,1009.5,1007.2,8,7,15.4,20.2
W0004,WNW,W,30,24,62,56,1005.5,1007,2,7,13.5,14.1
W0005,SSE,ESE,20,28,68,49,1018.3,1018.5,7,7,11.1,15.4
W0006,SE,E,20,24,70,57,1023.8,1021.7,7,5,10.9,14.8
W0007,SE,ESE,19,26,63,47,1024.6,1022.2,4,6,12.4,17.3
W0008,SE,E,11,24,65,57,1026.2,1024.2,6,7,12.1,15.5
W0009,E,ENE,19,17,70,48,1026.1,1022.7,7,7,14.1,18.9
W0010,S,ESE,7,6,82,32,1024.1,1020.7,7,1,13.3,21.7
W0011,SE,NW,6,9,74,34,1024.4,1021.1,1,2,14.6,24
W0012,E,NW,2,15,54,35,1023.8,1019.9,0,3,16.8,26
W0013,S,NW,6,7,62,29,1022,1017.1,0,1,17,27.1
W0014,WNW,W,7,20,67,20,1017.3,1013.1,1,4,19.7,30.7
W0015,S,W,6,20,45,16,1018.2,1013.7,0,1,18.7,30.4
W0016,SE,WSW,7,9,70,22,1017.9,1012.8,0,3,19.1,30.7
W0017,WSW,W,6,19,72,23,1014.4,1009.8,7,6,20.2,29.8
W0018,SW,NE,6,11,59,26,1016.4,1013,1,5,20.1,28.6
W0019,NNE,W,4,17,60,25,1017.1,1013.3,1,3,20.2,31.2
W0020,NNW,NNW,2,13,61,27,1018.5,1013.7,0,1,22.8,32
W0021,N,NW,2,31,60,26,1012.4,1006.5,1,5,22.2,32.8
W0022,ENE,E,6,11,88,72,1010.7,1008.9,8,8,16.5,18.3
W0023,S,SE,13,13,91,79,1014,1014.9,8,8,14,16.8
W0024,WSW,NE,6,9,74,57,1020.7,1019.2,7,5,17.8,22.8
W0025,SSE,NE,9,15,85,31,1022.4,1018.6,8,2,16.8,27.3
W0026,E,E,6,22,65,48,1019.7,1016.5,2,4,19.8,25.1
W0027,E,E,20,17,70,55,1021,1018.6,7,7,16.5,21.2
W0028,S,NNE,6,11,61,31,1019.2,1014.8,5,7,18.8,26.7
W0029,SE,SE,7,17,69,80,1019,1017.1,7,7,18.9,19.7
W0030,SSW,S,6,6,83,49,1017.2,1013.3,8,7,17.3,23.2
W0031,E,S,6,20,82,90,1015,1014.1,8,8,17,16.3
W0032,E,SW,6,9,66,46,1013.9,1009.5,2,2,16.7,25.2
W0033,WNW,NW,13,35,72,60,1007.9,1004.6,7,7,20.5,19.9
W0034,NW,WNW,20,26,74,40,1007.3,1006.3,5,2,18.8,25.1
W0035,ESE,E,11,30,69,63,1015,1015.3,7,1,18.6,20.5
W0036,ESE,ESE,13,9,78,54,1018.8,1016.1,8,7,18.6,24.5
W0037,NW,N,6,6,70,74,1014.5,1011.5,6,7,21.5,22.6
W0038,E,N,7,13,76,42,1014.8,1011.4,8,1,18,26.3
W0039,N,W,9,24,78,24,1010.8,1008.5,7,7,20.6,28.6
W0040,NNE,WNW,11,6,58,37,1011.7,1010.4,7,7,19.3,22.9
W0041,ESE,E,9,15,60,63,1018,1017.4,8,6,13.8,16.4
W0042,ESE,E,15,24,66,51,1021.1,1019.6,7,5,15.7,19.4
W0043,ESE,E,22,20,70,49,1021.9,1019.3,7,7,15.8,19.2
W0044,NNW,N,6,11,63,37,1018.1,1012.5,1,2,15.8,25
W0045,SE,WNW,2,13,63,36,1012.6,1010.2,1,8,17.4,29.1
W0046,SSE,NE,6,7,93,86,1010.1,1008.6,8,8,16.6,20
W0047,SSE,ESE,13,20,59,40,1017.6,1016.8,1,4,15.3,20.8
W0048,SE,E,13,20,61,43,1020.6,1018.3,6,7,15.3,19.8
W0049,NE,ENE,7,6,72,54,1018,1015.6,8,8,16.1,20
W0050,N,NW,4,13,97,74,1015.8,1014.1,8,7,15.3,20.4
W0051,NW,NW,6,22,81,48,1012.9,1008.3,2,7,21,28.2
